,RunId,iteration,Step,num_nodes,avg_node_degree,initial_outbreak_size,virus_spread_chance,virus_check_frequency,recovery_chance,gain_resistance_chance,hygiene_rate,Infected,Susceptible,Resistant
160,160,14,70,10,3,1,0.4,0.4,0.3,0.5,0.6000000000000001,0,0,10
161,161,14,70,10,3,1,0.4,0.4,0.3,0.5,0.7000000000000001,0,1,9
162,162,14,70,10,3,1,0.4,0.4,0.3,0.5,0.8,0,0,10
163,163,14,70,10,3,1,0.4,0.4,0.3,0.5,0.9,0,3,7
164,164,14,70,10,3,1,0.4,0.4,0.3,0.5,1.0,0,0,10
165,165,15,70,10,3,1,0.4,0.4,0.3,0.5,0.0,0,1,9
166,166,15,70,10,3,1,0.4,0.4,0.3,0.5,0.1,0,2,8
167,167,15,70,10,3,1,0.4,0.4,0.3,0.5,0.2,0,1,9
168,168,15,70,10,3,1,0.4,0.4,0.3,0.5,0.30000000000000004,0,0,10
169,169,15,70,10,3,1,0.4,0.4,0.3,0.5,0.4,0,2,8
170,170,15,70,10,3,1,0.4,0.4,0.3,0.5,0.5,0,1,9
171,171,15,70,10,3,1,0.4,0.4,0.3,0.5,0.6000000000000001,0,1,9
172,172,15,70,10,3,1,0.4,0.4,0.3,0.5,0.7000000000000001,0,1,9
173,173,15,70,10,3,1,0.4,0.4,0.3,0.5,0.8,0,1,9
174,174,15,70,10,3,1,0.4,0.4,0.3,0.5,0.9,0,0,10
175,175,15,70,10,3,1,0.4,0.4,0.3,0.5,1.0,0,8,2
176,176,16,70,10,3,1,0.4,0.4,0.3,0.5,0.0,0,2,8
177,177,16,70,10,3,1,0.4,0.4,0.3,0.5,0.1,0,3,7
178,178,16,70,10,3,1,0.4,0.4,0.3,0.5,0.2,0,2,8
179,179,16,70,10,3,1,0.4,0.4,0.3,0.5,0.30000000000000004,0,3,7
180,180,16,70,10,3,1,0.4,0.4,0.3,0.5,0.4,0,2,8
181,181,16,70,10,3,1,0.4,0.4,0.3,0.5,0.5,0,0,10
182,182,16,70,10,3,1,0.4,0.4,0.3,0.5,0.6000000000000001,0,1,9
183,183,16,70,10,3,1,0.4,0.4,0.3,0.5,0.7000000000000001,0,0,10
184,184,16,70,10,3,1,0.4,0.4,0.3,0.5,0.8,0,1,9
185,185,16,70,10,3,1,0.4,0.4,0.3,0.5,0.9,0,0,10
186,186,16,70,10,3,1,0.4,0.4,0.3,0.5,1.0,0,0,10
187,187,17,70,10,3,1,0.4,0.4,0.3,0.5,0.0,0,1,9
188,188,17,70,10,3,1,0.4,0.4,0.3,0.5,0.1,0,1,9
